Date;Country;Value;Semana
02/01/1995;Brazil;0.8440;2
03/01/1995;Brazil;0.8450;3
04/01/1995;Brazil;0.8450;4
05/01/1995;Brazil;0.8430;5
06/01/1995;Brazil;0.8400;6
09/01/1995;Brazil;0.8440;2
10/01/1995;Brazil;0.8470;3
11/01/1995;Brazil;0.8510;4
12/01/1995;Brazil;0.8450;5
13/01/1995;Brazil;0.8470;6
16/01/1995;Brazil;0.8470;2
17/01/1995;Brazil;0.8460;3
18/01/1995;Brazil;0.8460;4
19/01/1995;Brazil;0.8480;5
20/01/1995;Brazil;0.8480;6
23/01/1995;Brazil;0.8500;2
24/01/1995;Brazil;0.8510;3
25/01/1995;Brazil;0.8510;4
26/01/1995;Brazil;0.8450;5
27/01/1995;Brazil;0.8440;6
30/01/1995;Brazil;0.8460;2
31/01/1995;Brazil;0.8410;3
01/02/1995;Brazil;0.8420;4
02/02/1995;Brazil;0.8390;5
03/02/1995;Brazil;0.8390;6
06/02/1995;Brazil;0.8360;2
07/02/1995;Brazil;0.8360;3
08/02/1995;Brazil;0.8350;4
09/02/1995;Brazil;0.8330;5
10/02/1995;Brazil;0.8340;6
13/02/1995;Brazil;0.8320;2
14/02/1995;Brazil;0.8340;3
15/02/1995;Brazil;0.8360;4
16/02/1995;Brazil;0.8440;5
17/02/1995;Brazil;0.8500;6
20/02/1995;Brazil;0.8410;2
21/02/1995;Brazil;0.8420;3
22/02/1995;Brazil;0.8480;4
23/02/1995;Brazil;0.8470;5
24/02/1995;Brazil;0.8530;6
27/02/1995;Brazil;0.8510;2
28/02/1995;Brazil;0.8510;3
01/03/1995;Brazil;0.8520;4
02/03/1995;Brazil;0.8520;5
03/03/1995;Brazil;0.8590;6
06/03/1995;Brazil;0.8660;2
07/03/1995;Brazil;0.8870;3
08/03/1995;Brazil;0.8890;4
09/03/1995;Brazil;0.8890;5
10/03/1995;Brazil;0.8820;6
13/03/1995;Brazil;0.8810;2
14/03/1995;Brazil;0.8810;3
15/03/1995;Brazil;0.8850;4
16/03/1995;Brazil;0.8990;5
17/03/1995;Brazil;0.8980;6
20/03/1995;Brazil;0.9130;2
21/03/1995;Brazil;0.8980;3
22/03/1995;Brazil;0.9060;4
23/03/1995;Brazil;0.9080;5
24/03/1995;Brazil;0.9090;6
27/03/1995;Brazil;0.9100;2
28/03/1995;Brazil;0.9100;3
29/03/1995;Brazil;0.9060;4
30/03/1995;Brazil;0.9020;5
31/03/1995;Brazil;0.9000;6
03/04/1995;Brazil;0.9040;2
04/04/1995;Brazil;0.8990;3
05/04/1995;Brazil;0.8980;4
06/04/1995;Brazil;0.8950;5
07/04/1995;Brazil;0.8990;6
10/04/1995;Brazil;0.8960;2
11/04/1995;Brazil;0.9010;3
12/04/1995;Brazil;0.9070;4
13/04/1995;Brazil;0.9090;5
14/04/1995;Brazil;0.9090;6
17/04/1995;Brazil;0.9050;2
18/04/1995;Brazil;0.9060;3
19/04/1995;Brazil;0.9130;4
20/04/1995;Brazil;0.9180;5
21/04/1995;Brazil;0.9080;6
24/04/1995;Brazil;0.9130;2
25/04/1995;Brazil;0.9210;3
26/04/1995;Brazil;0.9170;4
27/04/1995;Brazil;0.9170;5
28/04/1995;Brazil;0.9130;6
01/05/1995;Brazil;0.9180;2
02/05/1995;Brazil;0.9140;3
03/05/1995;Brazil;0.9040;4
04/05/1995;Brazil;0.9030;5
05/05/1995;Brazil;0.9010;6
08/05/1995;Brazil;0.8980;2
09/05/1995;Brazil;0.8970;3
10/05/1995;Brazil;0.8940;4
11/05/1995;Brazil;0.8960;5
12/05/1995;Brazil;0.8960;6
15/05/1995;Brazil;0.8890;2
16/05/1995;Brazil;0.8900;3
17/05/1995;Brazil;0.8900;4
18/05/1995;Brazil;0.8900;5
19/05/1995;Brazil;0.8910;6
22/05/1995;Brazil;0.8890;2
23/05/1995;Brazil;0.8890;3
24/05/1995;Brazil;0.8890;4
25/05/1995;Brazil;0.8940;5
26/05/1995;Brazil;0.8980;6
29/05/1995;Brazil;;2
30/05/1995;Brazil;0.9070;3
31/05/1995;Brazil;0.9080;4
01/06/1995;Brazil;0.9080;5
02/06/1995;Brazil;0.9040;6
05/06/1995;Brazil;0.9030;2
06/06/1995;Brazil;0.9080;3
07/06/1995;Brazil;0.9110;4
08/06/1995;Brazil;0.9110;5
09/06/1995;Brazil;0.9180;6
12/06/1995;Brazil;0.9190;2
13/06/1995;Brazil;0.9170;3
14/06/1995;Brazil;0.9070;4
15/06/1995;Brazil;0.9070;5
16/06/1995;Brazil;0.9090;6
19/06/1995;Brazil;0.9120;2
20/06/1995;Brazil;0.9150;3
21/06/1995;Brazil;0.9190;4
22/06/1995;Brazil;0.9190;5
23/06/1995;Brazil;0.9190;6
26/06/1995;Brazil;0.9180;2
27/06/1995;Brazil;0.9190;3
28/06/1995;Brazil;0.9190;4
29/06/1995;Brazil;0.9190;5
30/06/1995;Brazil;0.9210;6
03/07/1995;Brazil;0.9200;2
04/07/1995;Brazil;;3
05/07/1995;Brazil;0.9230;4
06/07/1995;Brazil;0.9250;5
07/07/1995;Brazil;0.9250;6
10/07/1995;Brazil;0.9250;2
11/07/1995;Brazil;0.9243;3
12/07/1995;Brazil;0.9241;4
13/07/1995;Brazil;0.9260;5
14/07/1995;Brazil;0.9255;6
17/07/1995;Brazil;0.9290;2
18/07/1995;Brazil;0.9280;3
19/07/1995;Brazil;0.9290;4
20/07/1995;Brazil;0.9281;5
21/07/1995;Brazil;0.9333;6
24/07/1995;Brazil;0.9332;2
25/07/1995;Brazil;0.9354;3
26/07/1995;Brazil;0.9352;4
27/07/1995;Brazil;0.9358;5
28/07/1995;Brazil;0.9363;6
31/07/1995;Brazil;0.9353;2
01/08/1995;Brazil;0.9355;3
02/08/1995;Brazil;0.9353;4
03/08/1995;Brazil;0.9351;5
04/08/1995;Brazil;0.9360;6
07/08/1995;Brazil;0.9351;2
08/08/1995;Brazil;0.9351;3
09/08/1995;Brazil;0.9362;4
10/08/1995;Brazil;0.9352;5
11/08/1995;Brazil;0.9354;6
14/08/1995;Brazil;0.9411;2
15/08/1995;Brazil;0.9412;3
16/08/1995;Brazil;0.9414;4
17/08/1995;Brazil;0.9411;5
18/08/1995;Brazil;0.9429;6
21/08/1995;Brazil;0.9413;2
22/08/1995;Brazil;0.9418;3
23/08/1995;Brazil;0.9463;4
24/08/1995;Brazil;0.9465;5
25/08/1995;Brazil;0.9487;6
28/08/1995;Brazil;0.9480;2
29/08/1995;Brazil;0.9505;3
30/08/1995;Brazil;0.9493;4
31/08/1995;Brazil;0.9500;5
01/09/1995;Brazil;0.9496;6
04/09/1995;Brazil;;2
05/09/1995;Brazil;0.9483;3
06/09/1995;Brazil;0.9486;4
07/09/1995;Brazil;0.9482;5
08/09/1995;Brazil;0.9510;6
11/09/1995;Brazil;0.9513;2
12/09/1995;Brazil;0.9512;3
13/09/1995;Brazil;0.9520;4
14/09/1995;Brazil;0.9526;5
15/09/1995;Brazil;0.9516;6
18/09/1995;Brazil;0.9517;2
19/09/1995;Brazil;0.9525;3
20/09/1995;Brazil;0.9532;4
21/09/1995;Brazil;0.9532;5
22/09/1995;Brazil;0.9536;6
25/09/1995;Brazil;0.9533;2
26/09/1995;Brazil;0.9540;3
27/09/1995;Brazil;0.9549;4
28/09/1995;Brazil;0.9544;5
29/09/1995;Brazil;0.9531;6
02/10/1995;Brazil;0.9531;2
03/10/1995;Brazil;0.9581;3
04/10/1995;Brazil;0.9581;4
05/10/1995;Brazil;0.9582;5
06/10/1995;Brazil;0.9586;6
09/10/1995;Brazil;;2
10/10/1995;Brazil;0.9582;3
11/10/1995;Brazil;0.9584;4
12/10/1995;Brazil;0.9580;5
13/10/1995;Brazil;0.9583;6
16/10/1995;Brazil;0.9585;2
17/10/1995;Brazil;0.9585;3
18/10/1995;Brazil;0.9582;4
19/10/1995;Brazil;0.9592;5
20/10/1995;Brazil;0.9611;6
23/10/1995;Brazil;0.9612;2
24/10/1995;Brazil;0.9615;3
25/10/1995;Brazil;0.9615;4
26/10/1995;Brazil;0.9614;5
27/10/1995;Brazil;0.9614;6
30/10/1995;Brazil;0.9613;2
31/10/1995;Brazil;0.9620;3
01/11/1995;Brazil;0.9625;4
02/11/1995;Brazil;0.9625;5
03/11/1995;Brazil;0.9621;6
06/11/1995;Brazil;0.9618;2
07/11/1995;Brazil;0.9614;3
08/11/1995;Brazil;0.9614;4
09/11/1995;Brazil;0.9612;5
10/11/1995;Brazil;;6
13/11/1995;Brazil;0.9619;2
14/11/1995;Brazil;0.9630;3
15/11/1995;Brazil;0.9625;4
16/11/1995;Brazil;0.9627;5
